"source"	"ID_sentence"	"date"	"url"	"sentence"	"cor_manual"	"Cita_traducción"	"Interrumpida"	"Introductor"	"Comparativos"	"Modificados"	"Función_Scomp_prótasis"	"Función_Scomp_apódosis"	"SV_prótasis"	"SV_apódosis"	"Tiempo_verbal_prótasis"	"Tiempo_verbal_apódosis"	"Modo_verbal_prótasis"	"Modo_verbal_apódosis"	"Marco_sintáctico_oración"	"Interpretación_tanto_tanto"
"El País"	"8380_2"	"2015-10-11"	"https://elpais.com/cultura/2015/10/11/recondita_armonia/1444553938_144455.html"	"tanto gould es gould, tanto bach o beethoven los percibimos como si hubieran resucitado."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"NP_V"	"CC"	"CC"	"SV"	"_V"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"8474_6"	"2015-09-28"	"https://elpais.com/politica/2015/09/27/actualidad/1443384383_525668.html"	"más alto se lo ponía rajoy a los catalanes, más atractivo resultaba sobrepasarlo."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adj_Adj"	"Atr"	"Ptvo"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Sangre, poesía y pasión"	2	"2018-07-31"	"NA"	"Menos aceptaba dirigir, más se llenaban sus conciertos de adeptos y melómanos."	"amonesca"	"no"	"no"	"NA"	"menos_más"	"V_V"	"CC"	"CC"	"V"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Sangre, poesía y pasión"	3	"2018-07-31"	"NA"	"Más Domingo era Domingo, más Cyrano era Cyrano. Y más Hermann fue Hermann cuando Plácido Domingo añadió a su repertorio enciclopédico no haya un nuevo papel, sino un nuevo idioma."	"amonesca"	"no"	"no"	"NA"	"más_más"	"NP_NP"	"CC"	"CC"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Plácido Domingo"	5	"2011-07-31"	"NA"	"Tanto Plácido Domingo rebasaba el enésimo umbral de la popularidad, tanto nos aferrábamos a la posición aristocrática del mito canario."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"SV"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"Plácido Domingo"	6	"2011-07-31"	"NA"	"Tanto es Domingo, tanto es Otello."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"Plácido Domingo"	8	"2011-07-31"	"NA"	"Cuanto menos aceptaba dirigir, más se llenaban sus conciertos de adeptos y melómanos."	"normal"	"no"	"no"	"cuanto"	"menos_más"	"V_V"	"CC"	"CC"	"V"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Plácido Domingo"	9	"2011-07-31"	"NA"	"Cuantas más funciones dirigía Domingo, más perfeccionaba su técnica y ganaba en claridad."	"normal"	"no"	"no"	"cuanto"	"más_más"	"N_V"	"OD"	"CC"	"VS"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"NA"
"Plácido Domingo"	10	"2011-07-31"	"NA"	"Tanto debutaban en el foso las batutas más afines a Domingo —Barenboim, Rostropovich, Slatking, Previn—, tanto comparecían los grandes divos, incluidos Mirella Freni, Eva Marton, Renée Fleming, Juan Diego Flórez, José Cura y hasta José Carreras, cuya ausencia en los teatros de ópera estadounidenses se había prolongado doce años hasta que Domingo lo contrato como protagonista de Sly (Wolf-Ferrari) en 1999."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"estática"
"Plácido Domingo"	11	"2011-07-31"	"NA"	"Tanto ganaba dinero Decca, tanto se “desesperaban“ los tenores."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V/N_V"	"CC/OD"	"CC"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
